Timestamp,Open,Close,Low,High,Volume_(BTC),Volume_(Currency),Weighted_Price,hash_rate,Search_volume,Block_size,Difficulty,active_addresses,Block_time,Average fees,mining_profitability,Transactions,Tweets_volume,total,sentimentScore
2017-09-22,3607.83,3612.18,3514.0,3761.84,15007.738449489976,54271184.81624382,3608.2083813,7624199.74632,16.0,780109.0,1103400932964.0,545336,10.36,1.8769999999999998,0.748,227476,63652,1,0.5093
2017-09-26,3920.66,3888.03,3850.61,3970.0,10014.623671239982,39220959.70259629,3888.03,7569349.388439999,12.0,929559.0,1103400932964.0,627044,10.435,2.237,1.012,263510,61973,1,0.4466
2017-10-11,4747.9,4822.01,4700.0,4869.78,9866.895621750004,47256315.41881163,4821.942619899999,7765589.02337,18.0,951851.0,1123863285133.0,663108,10.36,2.4330000000000003,1.151,292320,68320,1,0.3612
2017-10-12,4822.01,5445.0,4793.66,5445.0,19916.228019950042,102559923.23455596,5444.0616198,8547734.68040521,18.0,913506.0,1123863285133.0,678030,9.412,3.0469999999999997,1.2209999999999999,293011,106779,1,0.0
2017-10-15,5795.01,5679.7,5415.0,5830.0,11542.945833670012,64464008.42283345,5686.2967412,11601113.0653046,20.0,831224.0,1182954806244.0,736669,7.385,3.235,1.469,283278,93320,1,-0.4263
2017-11-12,6355.13,5870.37,5555.55,6488.88,37315.15663980002,225565297.53256395,5876.5307784,5426063.16331,31.0,961424.0,1364422081125.0,434508,18.0,19.198,1.985,185886,71176,1,0.0
2017-11-20,8016.58,8226.17,7900.0,8269.99,8179.457727269996,66366007.80847722,8225.2080135,11869513.169735199,27.0,945862.0,1364422081125.0,836952,8.229,7.943,1.903,336029,102144,1,0.7081
2017-11-29,9877.63,9824.68,9250.0,11395.0,33432.33996207998,346949562.2019476,9803.949077500001,11584046.1446846,64.0,966491.0,1347001430559.0,989871,8.324,7.6610000000000005,2.267,397917,128781,2,-0.04005000000000003
2017-11-30,9833.7,9947.67,9000.0,10618.29,25433.45836366999,247093850.763086,9938.3273195,11182287.3189,64.0,974912.0,1347001430559.0,934600,8.623,7.041,2.08,384219,103190,2,-0.4604
2017-12-08,16599.99,15800.0,13482.42,16666.66,25473.395310650016,389366035.0930452,15831.702415,12337090.7722833,90.0,963467.0,1590896927258.0,966052,9.231,27.204,3.464,384936,124260,1,-0.3578
2017-12-09,15799.87,14607.49,12701.05,15998.5,16587.47292694,238909072.56351,14616.316858000002,13760601.246,90.0,972997.0,1590896927258.0,984629,8.276,21.566999999999997,3.238,403225,114109,1,-0.5859
2017-12-10,14601.01,14691.0,13011.0,15385.0,18487.98304098999,263150668.0039772,14649.795706,12969762.0939,84.0,970716.0,1590896927258.0,961658,8.78,19.542,2.657,341256,100455,1,-0.5106
2017-12-11,14690.99,16470.0,14677.19,17270.0,16583.72315538003,270203844.28483385,16445.052865,13523349.5003875,84.0,969819.0,1590896927258.0,977830,8.421,21.74,3.259,368427,128425,1,0.4019
2017-12-12,16470.0,16650.01,15967.29,17428.42,13517.892103280008,227842348.6995726,16651.206393,12337090.7723,84.0,968749.0,1590896927258.0,972328,9.231,24.405,3.208,372821,113215,1,0.3612
2017-12-15,16404.99,17471.5,16337.19,17934.0,18998.388137090013,329337014.76437366,17470.399613999998,13365181.67,84.0,970441.0,1590896927258.0,1036971,8.521,25.642,3.3369999999999997,405507,105711,1,0.0
2017-12-17,19187.78,18953.0,18465.0,19666.0,9749.249154619994,186310530.7644436,18917.298328,14630524.313284699,100.0,969545.0,1590896927258.0,1012311,7.784,26.519000000000002,3.839,391725,84441,2,-0.00495000000000001
2017-12-18,18953.0,18940.57,17835.2,19220.0,14678.94144796999,273533539.4028247,18935.223144,16946489.2357,100.0,968767.0,1718045833483.0,1004904,7.912000000000001,28.090999999999998,3.523,394057,97245,2,-0.0129
2017-12-19,18940.58,17700.0,16831.26,19160.79,21528.137665029968,387206242.38193184,17687.714879,13035760.9505,100.0,968040.0,1873105475222.0,855045,10.286,32.071,2.925,378482,83423,1,-0.7269
2017-12-21,16466.98,15600.01,15005.0,17281.17,20377.860438590003,326730689.64517653,15597.57225,12290860.3248,100.0,954314.0,1873105475222.0,856302,10.909,54.901,3.605,335350,105591,3,-0.4691
2017-12-22,15600.0,14009.79,11159.93,15795.61,57444.88580325997,772143020.6384684,13994.905275,14432449.6238,100.0,976936.0,1873105475222.0,959550,9.29,55.16,3.693,380493,124670,3,-0.06693333333333333
2017-12-24,14619.0,14157.87,12488.0,14619.1,18519.489322539983,250476423.64509213,14151.474532,14153111.8891,63.0,976364.0,1873105475222.0,925819,9.474,43.20399999999999,2.7880000000000003,279371,70864,1,0.4404
2017-12-26,13925.5,15764.44,13746.95,16147.87,15051.164017610012,230922569.1548615,15753.71221,13221986.1069519,63.0,971543.0,1873105475222.0,753514,10.141,44.669,2.983,247298,77648,1,0.4019
2017-12-30,14351.0,12640.0,12050.0,14463.28,21749.674446090008,285985550.32374585,12647.452184,13687548.998,63.0,958150.0,1873105475222.0,874666,9.796,30.028000000000002,2.4130000000000003,344260,71377,1,0.3818
2018-01-01,13880.0,13443.41,12801.38,13941.75,7688.030684599995,102815718.4516643,13405.432092000001,14975580.9596883,48.0,966169.0,1922580604981.0,842391,9.231,26.274,2.174,241601,62044,657,0.11671187214611872
2018-01-02,13394.2,14678.94,12910.58,15257.53,16299.669302790006,229138844.07680824,14630.663077000001,16415540.6674,48.0,968332.0,1931136454488.0,982159,8.421,26.522,2.431,340809,77723,2042,-0.001737414299706168
2018-01-03,14670.96,15155.62,14546.28,15500.0,12275.001196679998,183639413.73723653,15158.008913999998,15071578.2735,48.0,975882.0,1931136454488.0,953442,9.172,28.461,2.737,395806,79086,769,0.07592600780234071
2018-01-04,15155.62,15143.67,14192.37,15430.27,15004.018592560016,222160244.4909649,15142.31018,16127548.7258182,48.0,975713.0,1931136454488.0,1071574,8.571,27.264,2.6060000000000003,424840,74534,306,0.1172656862745098
2018-01-05,15143.67,16928.0,14810.0,17200.0,16248.91467956001,259695892.85339272,16910.108261,13727615.8797,48.0,974894.0,1931136454488.0,951484,10.07,32.515,2.6310000000000002,342564,76404,451,0.09998159645232817
2018-01-06,16927.99,17149.67,16220.0,17234.99,9501.01675546001,158389594.5143286,17132.184768,16127548.7258,48.0,971532.0,1931136454488.0,1043134,8.571,32.498000000000005,3.139,358679,62977,396,0.11283484848484847
2018-01-07,17142.43,16124.02,15707.16,17149.97,8632.81384337001,141555094.16033527,16166.949978,15551564.842753198,46.0,973489.0,1931136454488.0,994708,8.889,31.195,2.865,368025,67259,319,0.06435109717868337
2018-01-08,16173.98,14999.99,13900.0,16300.0,16676.34994239001,251877784.14283618,14998.660816999998,15935554.0981,46.0,955491.0,1931136454488.0,1022976,8.675,31.109,2.7539999999999996,345506,30585,496,0.09254637096774193
2018-01-09,14999.99,14403.51,14123.97,15367.18,13913.52469368002,204579121.58436617,14384.763266999998,15743559.4704,46.0,971298.0,1931136454488.0,985166,8.78,31.427,2.653,360101,80932,35359,0.18186460307135385
2018-01-10,14403.51,14890.02,13412.0,14900.0,18479.01253045998,261210687.02925968,14896.979853,15935554.098129902,46.0,970310.0,1931136454488.0,989424,8.675,29.724,2.427,347227,82357,35577,0.1787780560474464
2018-01-11,14899.99,13243.83,12800.0,14973.07,19630.075171120014,266846190.80782938,13272.63163,18527481.5719,46.0,957442.0,1931136454488.0,1077376,7.461,28.625999999999998,2.5540000000000003,337766,100333,44865,0.19462587540398976
2018-01-12,13249.99,13781.41,12807.27,14152.19,13433.084813629981,183399343.5165705,13801.910561,17087521.8643,46.0,979452.0,1931136454488.0,984432,8.09,28.750999999999998,2.217,299913,80737,31150,0.15608869662921349
2018-01-13,13829.28,14197.78,13789.42,14619.1,7488.987018470009,106595650.09043258,14188.166518,16501289.1137539,46.0,947784.0,2134254177774.0,834309,9.664,28.579,1.921,265586,63396,844,0.0568207345971564
2018-01-14,14197.78,13647.99,13072.22,14365.81,7588.635589720014,102783826.6608266,13647.576337999999,17165770.5546,57.0,972098.0,2227847638504.0,813222,9.29,28.909000000000002,2.003,234890,65657,765,0.10029045751633987
2018-01-15,13647.99,13607.04,13429.25,14394.36,9444.635308239982,131049852.36482067,13571.61841,16612036.0206,57.0,968469.0,2227847638504.0,813490,9.6,25.987,2.053,273473,76852,1031,0.07505935984481088
2018-01-16,13581.66,11386.34,10162.0,13607.04,38789.88308788992,457725763.3662432,11397.777889,17608758.1817911,57.0,964211.0,2227847638504.0,874574,9.057,24.48,1.867,303566,102135,2561,0.04857008980866849
2018-01-17,11393.97,11191.35,9222.0,11794.07,41356.189737899935,433168120.0519699,11161.702699,18494733.4362,57.0,961005.0,2227847638504.0,957141,8.623,22.989,1.5290000000000001,315604,111394,3366,0.0139
2018-01-18,11199.0,11247.57,10693.0,12146.0,22195.26202055996,256082649.9786878,11269.702206,19159214.877,57.0,965294.0,2227847638504.0,931879,8.324,24.552,1.7480000000000002,309322,100366,2137,0.04780037435657464
2018-01-19,11290.9,11552.0,11025.18,12050.39,13203.25567512998,151834406.42115608,11557.08788,18273239.622613396,57.0,965425.0,2227847638504.0,858958,8.727,23.337,1.7169999999999999,243454,57244,1775,0.06133543661971831
2018-01-20,11560.82,12775.99,11515.94,13052.12,10324.057334139996,128912075.53138864,12767.733112,19712949.4111,57.0,947155.0,2227847638504.0,846869,8.09,22.403000000000002,1.607,240433,75149,918,0.12033562091503268
2018-01-21,12782.99,11558.87,11100.0,12791.88,11596.44128787,137150604.64052266,11549.889244,20709671.5723,37.0,948330.0,2227847638504.0,864703,7.7010000000000005,19.1,1.6,215435,76295,695,0.0950253237410072
2018-01-22,11558.87,10808.99,10028.41,11910.78,17067.729255820006,186028930.5515519,10795.881793999999,18494733.4362209,37.0,970602.0,2227847638504.0,809424,8.623,14.38,1.3730000000000002,245395,93708,1355,0.10230273062730627
2018-01-23,10810.0,10851.82,9927.54,11409.87,17250.176146450005,184369293.73460427,10865.963420999999,19602202.5043,37.0,973223.0,2227847638504.0,784072,8.136000000000001,11.364,1.345,271759,81995,1689,0.05571409117821196
2018-01-24,10848.99,11400.96,10488.13,11500.0,11646.79059794,128825119.67873564,11434.379769,19491455.5975,37.0,966769.0,2227847638504.0,848037,8.182,12.569,1.474,250247,78855,1776,0.09608378378378378
2018-01-25,11400.98,11155.54,10868.57,11741.82,10212.921833809998,115421975.02524172,11155.414837,20445148.5647756,37.0,953261.0,2460585023618.0,750794,9.113999999999999,10.635,1.1740000000000002,236422,79509,1915,0.10513592689295037
2018-01-26,11140.01,11092.95,10263.32,11635.0,15074.666412430026,164020352.51574522,11103.380648,20056949.5414,37.0,960456.0,2603077300219.0,723781,9.29,10.523,1.227,220304,73227,1477,0.06592945159106296
2018-01-27,11093.74,11446.54,10815.84,11630.47,10309.807462480016,116376809.51693311,11435.644293000001,20315748.8903,37.0,939838.0,2603077300219.0,778222,9.172,9.824,1.166,193421,63956,829,0.05617442702050663
2018-01-28,11446.54,11685.58,11360.52,11989.15,9956.092495759991,116531522.5333174,11685.583072,20445148.5647756,41.0,935922.0,2603077300219.0,641321,9.113999999999999,8.529,1.3159999999999998,213288,66645,686,0.08086472303206997
2018-01-29,11685.58,11162.62,10991.0,11820.01,9996.356898479986,112806531.76200362,11165.663747,19151151.8202,41.0,925391.0,2603077300219.0,653494,9.73,7.143,1.136,232028,82322,1057,0.040622894985808886
2018-01-30,11162.62,9971.0,9731.2,11222.36,21082.192527639967,219169216.3602281,9968.104401,21609745.6349,41.0,901063.0,2603077300219.0,707495,8.623,7.309,1.115,236442,84246,1505,0.04880318936877077
2018-01-31,9971.0,10149.0,9514.96,10324.0,12743.509470589996,126723437.33575337,10149.878443000001,15139761.911890805,41.0,944705.0,2603077300219.0,579948,12.308,8.068,0.912,204159,81651,1637,-0.007071411117898595
2018-02-01,10148.99,8998.99,8455.0,10187.56,26356.58883930999,243067799.59756008,8994.6576035,20703947.9137,41.0,958674.0,2603077300219.0,726833,9.0,8.107999999999999,1.226,257504,93008,1484,0.07307735849056604
2018-02-02,9010.87,8838.83,7625.25,9096.79,44406.019829309924,373423805.0752871,8825.5404546,21739145.3094,41.0,941242.0,2603077300219.0,763496,8.571,10.181000000000001,0.9520000000000001,235750,102640,2276,-0.030383479789103687
2018-02-03,8838.29,9225.86,8170.71,9491.2,16208.374113419984,144713399.4718875,9201.7028173,20445148.5647756,41.0,916645.0,2603077300219.0,620918,9.113999999999999,6.859,0.914,194733,76444,862,0.09125754060324827
2018-02-04,9225.31,8191.0,7825.0,9350.09,19110.672460790007,162005632.56057367,8190.312190899999,23033142.054,48.0,889806.0,2603077300219.0,595294,8.09,5.662999999999999,0.981,173509,78202,538,0.1322159851301115
2018-02-05,8190.78,6874.27,6600.0,8335.56,46544.42880430995,342210634.64847463,6884.1264944999975,23938939.7752,48.0,899185.0,2603077300219.0,777110,7.784,6.193,0.7809999999999999,216178,99959,578,0.12478754325259515
2018-02-06,6878.65,7737.37,5920.72,8150.0,70961.36965826005,487504446.04306084,7719.367187999997,24293141.3193202,48.0,961110.0,2607870187293.0,849088,8.471,4.614,0.6759999999999999,243950,109734,232,0.041396551724137934
2018-02-07,7737.26,7588.01,7213.8,8649.0,32640.89253753999,260674865.84413925,7566.949339,20149017.2119,48.0,945530.0,2874674234416.0,694798,10.213,4.588,0.727,213578,95072,461,0.017916919739696315
2018-02-08,7588.01,8259.76,7565.5,8644.36,22746.39118111995,187157997.65821344,8259.76,18720008.899,48.0,944714.0,2874674234416.0,651284,10.992,4.195,0.677,173158,101569,407,0.06288796068796068
2018-02-09,8259.42,8693.98,7753.32,8779.62,18418.11709041999,152040059.86469048,8694.3492573,19291612.224166002,48.0,957285.0,2874674234416.0,689413,10.667,4.127,0.8029999999999999,177725,89542,34785,0.1684670001437401
2018-02-10,8693.98,8560.0,8170.86,9090.8,14670.558702030015,127082570.69045538,8550.7276082,20434818.8745,48.0,947466.0,2874674234416.0,593126,10.07,4.248,0.858,181640,77570,34124,0.1615520718555855
2018-02-11,8560.0,8067.0,7820.0,8560.0,12711.785845699993,103542540.61423004,8067.3008751,21578025.5248,28.0,946795.0,2874674234416.0,730277,9.536,3.469,0.7040000000000001,147057,75335,37722,0.16294103175865546
2018-02-12,8077.25,8899.0,8067.0,8995.0,15071.040296839998,130557481.61181016,8898.9440251,23721537.9941597,28.0,941726.0,2874674234416.0,781308,8.675,3.245,0.8340000000000001,186752,83783,29363,0.19660565337329292
2018-02-13,8891.2,8522.99,8360.13,8951.89,11374.524152539987,97689771.64298764,8522.583387800001,23435736.3316,28.0,946217.0,2874674234416.0,729810,8.78,3.247,0.7609999999999999,182820,73084,1038,0.059673121387283236
2018-02-14,8504.57,9490.98,8504.57,9515.0,17468.738865930005,158839393.24544287,9491.278199200002,25579248.8009,28.0,940502.0,2874674234416.0,815887,8.045,2.9419999999999997,0.875,196238,72888,989,0.10300535894843277
2018-02-15,9490.98,10018.0,9350.0,10234.0,21036.33731749999,206814744.848028,10029.07323,18720008.899005607,28.0,945634.0,2874674234416.0,640344,10.992,3.1830000000000003,0.7929999999999999,198052,74208,1129,0.07206616474756422
2018-02-16,10011.3,10196.0,9707.51,10300.0,11857.642775130002,118860367.74257252,10199.856501999999,22435430.5125,28.0,896942.0,2874674234416.0,637546,9.172,3.1239999999999997,0.955,187581,74964,1007,0.050258987090367434
2018-02-17,10203.14,11101.0,10053.5,11135.83,14511.169136759994,155314935.1776292,11101.0,21292223.8622,28.0,912798.0,2874674234416.0,680664,9.664,3.0010000000000003,0.88,173640,69716,483,0.06592898550724638
2018-02-18,11101.0,10421.06,10153.15,11300.0,17623.079431349983,188724919.3445501,10410.716241,23149934.6689992,25.0,917076.0,2874674234416.0,631438,8.889,3.014,1.012,159333,62968,469,0.05949722814498934
2018-02-19,10433.68,11173.0,10307.51,11262.48,11698.25622610999,127802568.07195272,11170.091183,23149934.669,25.0,937515.0,2874674234416.0,688075,8.889,2.965,0.986,187205,69225,682,0.050784897360703816
